Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Avg_Delivery,Ghost_Risk
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,Windy,High ,scooter ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
zotl583816092,32,3.5,0.0,0.0,0.11,0.11,2022-03-08,21:35:00,21:45:00,Stormy,Jam ,scooter ,Urban ,35,Grocery,124.90564484784746,Medium Risk
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
jjcl090851660,31,4.2,12.986047,80.218114,13.096047,80.328114,2022-03-23,21:20:00,21:30:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery,124.90564484784746,Medium Risk
nyfh224947388,32,4.4,18.563934,73.915367,18.603935,73.955367,2022-03-05,16:00:00,16:05:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,37,Grocery,124.90564484784746,Medium Risk
xkxm865630486,21,4.4,21.173493,72.801953,21.203493,72.831953,2022-04-03,22:25:00,22:40:00,Windy,Low ,motorcycle ,Metropolitian ,15,Grocery,124.90564484784746,Medium Risk
bvni933228891,22,4.0,13.029198,77.570997,13.039198,77.580997,2022-03-13,09:45:00,09:55:00,Sandstorms,Low ,motorcycle ,Urban ,28,Grocery,124.90564484784746,Medium Risk
ceoa860679195,27,4.1,23.359033,85.325347,23.379033,85.345347,2022-03-11,10:20:00,10:25:00,Stormy,Low ,motorcycle ,Metropolitian ,80,Sports,124.90564484784746,Medium Risk
wrbr570700916,32,4.1,13.086438,80.220672,13.136439,80.270672,2022-03-24,20:40:00,20:45:00,Stormy,Jam ,scooter ,Metropolitian ,34,Grocery,124.90564484784746,Medium Risk
sgrv807655331,21,4.2,17.483216,78.552111,17.503216,78.572111,2022-03-15,10:00:00,10:15:00,Sandstorms,Low ,motorcycle ,Metropolitian ,80,Jewelry,124.90564484784746,Medium Risk
oosb954281783,37,4.1,22.308096,73.167753,22.378096,73.237753,2022-03-10,18:30:00,18:45:00,Sunny,Medium ,motorcycle ,Metropolitian ,38,Grocery,124.90564484784746,Medium Risk
xqes087347664,34,4.1,18.55144,73.804855,18.56144,73.814855,2022-03-11,11:10:00,11:20:00,Cloudy,High ,scooter ,Metropolitian ,35,Grocery,124.90564484784746,Medium Risk
nvkv892242670,27,4.4,26.905287,75.794592,26.925287,75.814592,2022-03-09,10:20:00,10:35:00,Sandstorms,Low ,motorcycle ,Metropolitian ,75,Home,124.90564484784746,Medium Risk
rmgo277916637,39,4.3,23.353783,85.326967,23.483783,85.456967,2022-03-31,19:15:00,19:30:00,Windy,Jam ,motorcycle ,Metropolitian ,35,Grocery,124.90564484784746,Medium Risk
dxpp270325088,37,4.0,21.186884,72.793616,21.296884,72.903616,2022-03-06,21:40:00,21:55:00,Cloudy,Jam ,motorcycle ,Metropolitian ,47,Grocery,124.90564484784746,Medium Risk
rarh555402225,38,4.0,26.849596,75.800512,26.929596,75.880512,2022-03-23,20:40:00,20:50:00,Cloudy,Jam ,scooter ,Metropolitian ,44,Grocery,124.90564484784746,Medium Risk
igll093473818,22,4.4,18.994237,72.825553,19.004237,72.835553,2022-03-17,09:55:00,10:05:00,Sandstorms,Low ,motorcycle ,Metropolitian ,80,Cosmetics,124.90564484784746,Medium Risk
aegn029390607,20,4.2,12.325461,76.632278,12.345461,76.652278,2022-03-26,08:35:00,08:50:00,Stormy,Low ,motorcycle ,Metropolitian ,29,Grocery,124.90564484784746,Medium Risk
zucr259565390,26,4.1,11.000762,76.981876,11.050762,77.031876,2022-03-17,23:40:00,23:55:00,Stormy,Low ,motorcycle ,Metropolitian ,80,Shoes,124.90564484784746,Medium Risk
scqr294223322,31,4.3,21.173493,72.801953,21.253493,72.881953,2022-03-23,20:30:00,20:40:00,Cloudy,Jam ,motorcycle ,Urban ,35,Grocery,124.90564484784746,Medium Risk
zoez338152351,38,4.0,13.086438,80.220672,13.116438,80.250672,2022-04-01,19:20:00,19:30:00,Stormy,Jam ,motorcycle ,Metropolitian ,46,Grocery,124.90564484784746,Medium Risk
xepv819914405,37,4.4,26.921411,75.793604,27.001411,75.873604,2022-03-25,18:40:00,18:45:00,Fog,Medium ,van,Urban ,32,Grocery,124.90564484784746,Medium Risk
ajhh623571054,21,4.3,13.045479,80.23311,13.065479,80.25311,2022-04-01,10:00:00,10:15:00,Stormy,Low ,motorcycle ,Urban ,75,Skincare,124.90564484784746,Medium Risk
